[2025-07-31 06:34:38.771459] [p-17544] [t-17548] [info] keyboard-manager logger is initialized
[2025-07-31 06:34:38.849578] [p-17544] [t-17548] [trace] SettingsHelper::LoadSettings()
[2025-07-31 09:04:58.249970] [p-17860] [t-17900] [info] keyboard-manager logger is initialized
[2025-07-31 09:04:58.311892] [p-17860] [t-17900] [trace] SettingsHelper::LoadSettings()
[2025-07-31 09:28:27.654249] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-31 09:28:53.016764] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-31 09:29:14.487606] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-31 09:29:20.091743] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-31 09:29:20.253173] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-31 09:29:22.399778] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-31 09:29:27.470362] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-31 09:29:41.000524] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-31 09:29:42.884508] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-31 09:33:51.340207] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-31 09:34:00.161121] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-31 10:10:44.636871] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-31 10:16:30.071653] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-31 10:21:46.907011] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-31 10:21:50.650139] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-31 10:21:51.049250] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-31 10:23:52.619218] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-31 10:49:03.895815] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-31 10:49:29.086620] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-31 12:46:58.319548] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-31 12:46:59.122406] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-31 12:49:54.195915] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-31 12:50:07.062321] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:6
[2025-07-31 13:01:19.511193] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-31 13:01:29.937782] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-31 13:02:35.848833] [p-17860] [t-17900] [trace] ChordKeyboardHandler:keyEventList.size:4
